# Constructed from biom file
#OTU ID	C5.28	H15.0	H15.14	C14.28	C15.0	H13.14	C12.0	C14.14	H10.14	C9.14	H6.14	C13.0	H5.28	C4.0	C11.0	H12.28	H14.28	C4.14	C5.14	C1.14	C12.28	C7.14	H5.14	C10.0	H5.0	C4.28	H10.28	H6.0	H10.0	C6.28	C2.0	C3.0	C6.0	C5.0	H4.0	C11.28	C7.0	C8.0	H12.14	H3.28	C2.14	H2.28	H1.0	C7.28	C9.28	C10.14	H3.0	C1.28	H7.28	H14.0	C1.0	H7.14	H9.0	H8.0	C3.28	C8.14	H12.0	C2.28	C15.28	C10.28	H11.0	H7.0	C14.0	H14.14	H11.14	H2.0	H2.14	H4.28	H15.28	C9.0	C11.14	C12.14	H11.28	C15.14	C3.14	C13.14	H9.14	H3.14	C13.28	H13.0	H1.14	H8.28	H1.28	H6.28	H9.28	H13.28	C6.14	C8.28	H8.14	H4.14	taxonomy
181348	8.0	0.0	0.0	4.0	13.0	1.0	9.0	0.0	28.0	51.0	23.0	1.0	0.0	19.0	2.0	3.0	2.0	9.0	10.0	11.0	1.0	12.0	8.0	81.0	3.0	15.0	21.0	10.0	20.0	41.0	19.0	30.0	37.0	8.0	6.0	0.0	6.0	16.0	2.0	7.0	1.0	7.0	5.0	7.0	21.0	17.0	30.0	1.0	17.0	7.0	19.0	81.0	20.0	8.0	12.0	14.0	2.0	2.0	8.0	14.0	3.0	18.0	17.0	3.0	1.0	14.0	1.0	2.0	2.0	5.0	3.0	4.0	5.0	6.0	23.0	2.0	52.0	4.0	1.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
306528	12.0	0.0	4.0	0.0	0.0	0.0	7.0	2.0	18.0	0.0	1.0	1.0	0.0	6.0	0.0	2.0	0.0	3.0	1.0	21.0	0.0	3.0	3.0	0.0	2.0	5.0	2.0	1.0	0.0	8.0	10.0	7.0	1.0	3.0	28.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	3.0	0.0	17.0	8.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	4.0	0.0	5.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	36.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
3957916	15.0	2.0	5.0	2.0	1.0	6.0	5.0	0.0	9.0	21.0	14.0	0.0	1.0	0.0	15.0	11.0	26.0	35.0	51.0	30.0	0.0	46.0	10.0	0.0	0.0	16.0	29.0	4.0	1.0	4.0	0.0	0.0	3.0	0.0	1.0	12.0	0.0	2.0	0.0	42.0	41.0	1.0	1.0	48.0	1.0	1.0	0.0	28.0	0.0	3.0	2.0	75.0	1.0	2.0	5.0	112.0	0.0	29.0	14.0	4.0	15.0	3.0	5.0	48.0	1.0	0.0	84.0	28.0	22.0	18.0	6.0	6.0	3.0	17.0	27.0	3.0	32.0	16.0	1.0	9.0	39.0	39.0	6.0	3.0	20.0	8.0	3.0	6.0	57.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
183857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	39.0	110.0	54.0	1.0	5.0	15.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	62.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	61.0	18.0	37.0	7.0	8.0	7.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
2506486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	35.0	31.0	0.0	0.0	17.0	12.0	0.0	15.0	37.0	8.0	50.0	29.0	0.0	11.0	109.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	3.0	0.0	91.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	54.0	5.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4465907	30.0	1.0	3.0	2.0	8.0	4.0	5.0	4.0	18.0	33.0	26.0	2.0	480.0	20.0	1.0	78.0	256.0	4289.0	99.0	17.0	79.0	56.0	19.0	11.0	5.0	737.0	273.0	7.0	15.0	141.0	16.0	24.0	11.0	8.0	10.0	790.0	21.0	10.0	4.0	13204.0	13678.0	3927.0	42.0	1163.0	4720.0	31.0	21.0	79.0	7831.0	1.0	22.0	12.0	7.0	11.0	104.0	7384.0	3.0	7895.0	252.0	3884.0	1.0	21.0	4.0	3.0	3.0	6.0	1959.0	1855.0	5.0	7.0	5.0	1.0	3666.0	0.0	153.0	2.0	24.0	769.0	692.0	1.0	3086.0	8320.0	6358.0	1943.0	33764.0	2844.0	8062.0	6534.0	1.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
413695	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	3.0	9.0	31.0	2.0	10.0	28.0	8.0	0.0	8.0	7.0	11.0	19.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	23.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	42.0	1.0	4.0	10.0	13.0	0.0	0.0	1.0	0.0	0.0	1.0	10.0	0.0	3.0	1.0	49.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4306262	0.0	0.0	0.0	0.0	4.0	0.0	77.0	0.0	0.0	0.0	458.0	307.0	1.0	10.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	31.0	0.0	0.0	38.0	15.0	0.0	43.0	41.0	27.0	14.0	40.0	0.0	7.0	162.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	11.0	1.0	0.0	416.0	18.0	1.0	655.0	210.0	0.0	0.0	40.0	0.0	0.0	0.0	16.0	2.0	1.0	0.0	0.0	7.0	1.0	0.0	0.0	7.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
349036	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	2.0	1.0	92.0	18.0	0.0	4.0	19.0	108.0	4.0	1.0	57.0	213.0	159.0	8.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	15.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	22.0	4.0	2.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	8.0	2.0	0.0	1.0	6.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
463007	0.0	2.0	3.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	33.0	27.0	0.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	2.0	1.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	8.0	0.0	0.0	0.0	0.0	12.0	0.0	2.0	4.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	10.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	5.0	0.0	1.0	0.0	41.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
