# Constructed from biom file
#OTU ID	H10.14	C5.28	C9.14	H6.14	H5.28	C4.0	H5.14	C4.14	C5.14	C7.14	C1.14	C10.0	H5.0	C4.28	H10.28	H6.0	C7.0	C2.0	C6.28	H4.0	H10.0	C5.0	C6.0	C3.0	C9.0	H3.0	H1.14	H1.28	C3.14	H8.28	C2.28	C9.28	H6.28	C3.28	H4.28	H1.0	C7.28	H7.28	H8.0	H9.14	H3.28	C10.14	C1.28	H9.28	H2.14	C2.14	C10.28	H3.14	H2.0	C8.14	H7.14	C6.14	H7.0	H9.0	C8.28	H2.28	C1.0	H8.14	C8.0	H4.14	taxonomy
3957916	9.0	15.0	21.0	14.0	1.0	0.0	10.0	35.0	51.0	46.0	30.0	0.0	0.0	16.0	29.0	4.0	0.0	0.0	4.0	1.0	1.0	0.0	3.0	0.0	18.0	0.0	39.0	6.0	27.0	39.0	29.0	1.0	3.0	5.0	28.0	1.0	48.0	0.0	2.0	32.0	42.0	1.0	28.0	20.0	84.0	41.0	4.0	16.0	0.0	112.0	75.0	3.0	3.0	1.0	6.0	1.0	2.0	57.0	2.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
183857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	61.0	1.0	5.0	62.0	15.0	18.0	0.0	5.0	1.0	5.0	8.0	0.0	0.0	39.0	0.0	0.0	37.0	16.0	110.0	8.0	0.0	0.0	40.0	0.0	8.0	0.0	0.0	7.0	54.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
261177	0.0	0.0	0.0	88.0	1.0	564.0	0.0	1.0	0.0	1.0	2.0	199.0	7.0	0.0	0.0	320.0	257.0	83.0	0.0	317.0	17.0	1295.0	324.0	4.0	808.0	33.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	184.0	153.0	0.0	0.0	51.0	1.0	6.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
4465907	18.0	30.0	33.0	26.0	480.0	20.0	19.0	4289.0	99.0	56.0	17.0	11.0	5.0	737.0	273.0	7.0	21.0	16.0	141.0	10.0	15.0	8.0	11.0	24.0	7.0	21.0	3086.0	6358.0	153.0	8320.0	7895.0	4720.0	1943.0	104.0	1855.0	42.0	1163.0	7831.0	11.0	24.0	13204.0	31.0	79.0	33764.0	1959.0	13678.0	3884.0	769.0	6.0	7384.0	12.0	8062.0	21.0	7.0	6534.0	3927.0	22.0	1.0	10.0	7.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4306262	0.0	0.0	0.0	458.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	1.0	31.0	0.0	0.0	38.0	7.0	43.0	0.0	40.0	15.0	14.0	27.0	41.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	210.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	2.0	655.0	0.0	0.0	18.0	0.0	162.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
349036	0.0	0.0	0.0	6.0	0.0	4.0	1.0	4.0	0.0	2.0	5.0	92.0	18.0	0.0	4.0	19.0	1.0	1.0	4.0	8.0	108.0	159.0	213.0	57.0	6.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	15.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	8.0	0.0	22.0	0.0	20.0	4.0	1.0	0.0	4.0	0.0	9.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
181348	28.0	8.0	51.0	23.0	0.0	19.0	8.0	9.0	10.0	12.0	11.0	81.0	3.0	15.0	21.0	10.0	6.0	19.0	41.0	6.0	20.0	8.0	37.0	30.0	5.0	30.0	1.0	0.0	23.0	2.0	2.0	21.0	0.0	12.0	2.0	5.0	7.0	17.0	8.0	52.0	7.0	17.0	1.0	0.0	1.0	1.0	14.0	4.0	14.0	14.0	81.0	0.0	18.0	20.0	0.0	7.0	19.0	0.0	16.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
1111328	152.0	15.0	60.0	3.0	0.0	0.0	7.0	0.0	26.0	56.0	5.0	14.0	2.0	0.0	15.0	14.0	4.0	0.0	30.0	0.0	4.0	0.0	2.0	0.0	51.0	0.0	1.0	0.0	54.0	2.0	9.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	70.0	2.0	4.0	28.0	0.0	21.0	30.0	0.0	11.0	2.0	23.0	152.0	8.0	0.0	0.0	0.0	0.0	0.0	30.0	50.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
42839	50.0	719.0	3092.0	12.0	13.0	3.0	5.0	238.0	343.0	105.0	1.0	2.0	3.0	64.0	0.0	0.0	4.0	1.0	650.0	7.0	2.0	5.0	1.0	0.0	3.0	4.0	463.0	37.0	2.0	190.0	2.0	21.0	18.0	2.0	56.0	2.0	47.0	4.0	2.0	200.0	10.0	3977.0	5.0	4.0	9.0	6.0	5.0	22.0	4.0	429.0	27.0	1620.0	4.0	4.0	86.0	15.0	2.0	1.0	3.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
1053321	1.0	0.0	42.0	5.0	572.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0	64.0	5.0	2.0	23.0	0.0	6.0	0.0	3.0	0.0	0.0	2.0	0.0	40.0	2.0	0.0	1.0	0.0	3.0	0.0	5.0	0.0	0.0	1.0	3.0	1.0	1.0	105.0	0.0	0.0	11.0	0.0	0.0	6.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
